"SIFRA,C,8";"PROMJER,N,5,3";"PRESJEK,N,9,6";"BR_IZO,N,1,0";"DEB_IZO,N,5,3";"MAX_NAPON,N,4,0";"MAX_TEMP,N,3,0";"NAB_CIJENA,N,5,2";"PRO_CIJENA,N,5,2";"ULAZ,N,9,3";"IZLAZ,N,9,3";"ZALIHA,N,9,3"
"0020/ /";0,020;0,000314;0;0;0;0;0;0;0;0;0
"0025/ /";0,025;0,000491;0;0;0;0;0;0;0;0;0
"0032/ /";0,032;0,000804;0;0;0;0;0;0;0;0;0
"0040/ /";0,040;0,001257;0;0;0;0;0;0;0;0;0
"0050/ /";0,050;0,001963;0;0;0;0;0;0;0;0;0
"0063/ /";0,063;0,003117;0;0;0;0;0;0;0;0;0
"0071/ /";0,071;0,003959;0;0;0;0;0;0;0;0;0
"0080/ /";0,080;0,005027;0;0;0;0;0;0;0;0;0
"0090/ /";0,090;0,006362;0;0;0;0;0;0;0;0;0
"0100/ /";0,100;0,007854;0;0;0;0;0;0;0;0;0
"0112/ /";0,112;0,009852;0;0;0;0;0;0;0;0;0
"0125/ /";0,125;0,012272;0;0;0;0;0;0;0;0;0
"0140/ /";0,140;0,015394;0;0;0;0;0;0;0;0;0
"0160/ /";0,160;0,020106;0;0;0;0;0;0;0;0;0
"0180/ /";0,180;0,025447;0;0;0;0;0;0;0;0;0
"0200/ /";0,200;0,031416;0;0;0;0;0;0;0;0;0
"0210/ /";0,210;0,000000;0;0;0;0;0;0;0;0;0
"0224/ /";0,224;0,039408;0;0;0;0;0;0;0;0;0
"0240/ /";0,240;0,000000;0;0;0;0;0;0;0;0;0
"0250/ /";0,250;0,049087;0;0;0;0;0;0;0;0;0
"0260/ /";0,260;0,000000;0;0;0;0;0;0;0;0;0
"0265/ /";0,265;0,000000;0;0;0;0;0;0;0;0;0
"0280/ /";0,280;0,061575;0;0;0;0;0;0;0;0;0
"0300/ /";0,300;0,070686;0;0;0;0;0;0;0;0;0
"0315/ /";0,315;0,077931;0;0;0;0;0;0;0;0;0
"0335/ /";0,335;0,000000;0;0;0;0;0;0;0;0;0
"0350/ /";0,350;0,096211;0;0;0;0;0;0;0;0;0
"0355/ /";0,355;0,000000;0;0;0;0;0;0;0;0;0
"0375/ /";0,375;0,110447;0;0;0;0;0;0;0;0;0
"0380/ /";0,380;0,000000;0;0;0;0;0;0;0;0;0
"0400/ /";0,400;0,125664;0;0;0;0;0;0;0;0;0
"0420/ /";0,420;0,000000;0;0;0;0;0;0;0;0;0
"0425/ /";0,425;0,000000;0;0;0;0;0;0;0;0;0
"0450/ /";0,450;0,159043;0;0;0;0;0;0;0;0;0
"0475/ /";0,475;0,000000;0;0;0;0;0;0;0;0;0
"0480/ /";0,480;0,000000;0;0;0;0;0;0;0;0;0
"0500/ /";0,500;0,196350;0;0;0;0;0;0;0;0;0
"0520/ /";0,520;0,000000;0;0;0;0;0;0;0;0;0
"0530/ /";0,530;0,000000;0;0;0;0;0;0;0;0;0
"0550/ /";0,550;0,237583;0;0;0;0;0;0;0;0;0
"0560/ /";0,560;0,000000;0;0;0;0;0;0;0;0;0
"0580/ /";0,580;0,000000;0;0;0;0;0;0;0;0;0
"0600/ /";0,600;0,282743;0;0;0;0;0;0;0;0;0
"0630/ /";0,630;0,311724;0;0;0;0;0;0;0;0;0
"0650/ /";0,650;0,331831;0;0;0;0;0;0;0;0;0
"0670/ /";0,670;0,000000;0;0;0;0;0;0;0;0;0
"0700/ /";0,700;0,384845;0;0;0;0;0;0;0;0;0
"0710/ /";0,710;0,395921;0;0;0;0;0;0;0;0;0
"0750/ /";0,750;0,441786;0;0;0;0;0;0;0;0;0
"0800/ /";0,800;0,502655;0;0;0;0;0;0;0;0;0
"0850/ /";0,850;0,567450;0;0;0;0;0;0;0;0;0
"0900/ /";0,900;0,636173;0;0;0;0;0;0;0;0;0
"0950/ /";0,950;0,708822;0;0;0;0;0;0;0;0;0
"1000/ /";1,000;0,785398;2;0;500;120;0;0;0;0;0
"1050/ /";1,050;0,865901;0;0;0;0;0;0;0;0;0
"1060/ /";1,060;0,000000;0;0;0;0;0;0;0;0;0
"1100/ /";1,100;0,950332;2;0;500;120;0;0;0;0;0
"1120/ /";1,120;0,000000;0;0;0;0;0;0;0;0;0
"1150/ /";1,150;1,038689;0;0;0;0;0;0;0;0;0
"1180/ /";1,180;0,000000;0;0;0;0;0;0;0;0;0
"1200/ /";1,200;1,130973;0;0;0;0;0;0;0;0;0
"1250/ /";1,250;1,227185;0;0;0;0;0;0;0;0;0
"1300/ /";1,300;1,327323;0;0;0;0;0;0;0;0;0
"1320/ /";1,320;0,000000;0;0;0;0;0;0;0;0;0
"1350/ /";1,350;1,431388;0;0;0;0;0;0;0;0;0
"1400/ /";1,400;1,539380;0;0;0;0;0;0;0;0;0
"1450/ /";1,450;1,651300;0;0;0;0;0;0;0;0;0
"1500/ /";1,500;1,767146;0;0;0;0;0;0;0;0;0
"1550/ /";1,550;1,886919;0;0;0;0;0;0;0;0;0
"1600/ /";1,600;2,010619;0;0;0;0;0;0;0;0;0
"1650/ /";1,650;2,138246;0;0;0;0;0;0;0;0;0
"1700/ /";1,700;2,269801;0;0;0;0;0;0;0;0;0
"1750/ /";1,750;2,405282;0;0;0;0;0;0;0;0;0
"1800/ /";1,800;2,544690;0;0;0;0;0;0;0;0;0
"1850/ /";1,850;2,688025;0;0;0;0;0;0;0;0;0
"1900/ /";1,900;2,835287;0;0;0;0;0;0;0;0;0
"1920/ /";1,920;0,000000;0;0;0;0;0;0;0;0;0
"1950/ /";1,950;2,986477;0;0;0;0;0;0;0;0;0
"2000/ /";2,000;3,141593;0;0;0;0;0;0;0;0;0
